DP,DPMP,MPIO_NAREA,AÑO_CREACION
08,08832,182.9895582,1833
08,08849,101.37813271,1856
11,11001,1622.85260469,1538
13,13001,597.6810116299999,1599
13,13006,951.76583131,1934
13,13030,303.74622699,1994
13,13042,461.93228344,1996
13,13052,589.57701537,1770
13,13062,163.80837577,1997
13,13074,430.7368606,1931
13,13140,255.35331939,1923
13,13160,881.48321743,1994
13,13188,133.17933326,1994
13,13212,597.31809782,1909
13,13222,85.37593328,1995
13,13244,946.27376344,1857
13,13248,383.17338739,1853
13,13268,318.9348519,1995
13,13300,194.33101468,1994
13,13430,1129.96283733,1813
13,13433,432.18034127,1610
13,13440,293.68335547,1882
13,13442,559.91784324,1936
13,13458,2092.81355819,1994
13,13468,652.14257901,1852
13,13473,1347.5998537,1886
13,13490,416.38645561,2007
13,13549,775.56872544,1900
13,13580,183.45268918,1995
13,13600,845.23649259,1982
13,13620,42.2688054,1996
13,13647,211.63925667,1936
13,13650,317.3249881,1832
13,13654,442.91599064,1899
13,13655,569.95070071,1997
13,13657,631.22474109,1780
13,13667,450.19812675,1690
13,13670,2021.0359913,1968
13,13673,172.77422027,1772
13,13683,154.67224223,1799
13,13688,2382.7823713,1984
13,13744,1354.65972673,1968
13,13760,92.60413437,1908
13,13780,249.3051513,1984
13,13810,762.80877801,1994
13,13836,201.98114245,1599
13,13838,191.15515136,1894
13,13873,137.126414,1770
13,13894,309.15321,1899
15,15001,119.68891815,1541
15,15022,57.67211917,1908
15,15047,942.14656272,1789
15,15051,137.89858803,1856
15,15087,163.08822003,1756
15,15090,58.01301631,1913
15,15092,101.89954848,1754
15,15097,145.3052912,1613
15,15104,48.02286793,1537
15,15106,64.59970294999999,1890
15,15109,110.15675651,1822
15,15114,25.35271463,1851
15,15131,78.96557418,1837
15,15135,298.72837929,1823
15,15162,63.57858191,1782
15,15172,136.37345653,1826
15,15176,165.01366942,1776
15,15180,658.81489814,1761
15,15183,677.37700246,1769
15,15185,158.53472168,1621
15,15187,49.53234015,1978
15,15189,53.99242241,1817
15,15204,145.27595481,1777
15,15212,149.86972672,1784
15,15215,60.85143191,1789
15,15218,102.43132247,1822
15,15223,1177.6146102,1965
15,15224,42.12806645,1978
15,15226,44.13326992,1700
15,15232,116.5118127,1982
15,15236,108.6796408,1990
15,15238,234.02439254,1790
15,15244,238.34461943,1725
15,15248,69.40066627,1792
15,15272,109.34059509,1718
15,15276,88.12845643,1818
15,15293,88.16642732,1794
15,15296,123.68161708,1776
15,15299,193.51249105,1754
15,15317,57.65232987,1763
15,15322,36.13928524,1754
15,15325,99.96683864000001,1820
15,15332,952.2178782,1799
15,15362,34.24778273,1779
15,15367,59.00829053,1829
15,15368,131.73689116,1721
15,15377,581.27677009,1754
15,15380,56.9311693,1793
15,15401,28.00521775,1965
15,15403,161.56318622,1766
15,15407,126.58841271,1785
15,15425,199.96600559,1808
15,15442,160.68478941,1777
15,15455,258.7141808,1777
15,15464,360.37714728,1799
15,15466,68.85476038,1621
15,15469,218.27905548,1790
15,15476,60.044097,1978
15,15480,137.87412732,1558
15,15491,55.42547563,1796
15,15494,51.39679736,1783
15,15500,60.30217623,1978
15,15507,475.04006737,1960
15,15511,66.69016938,1796
15,15514,339.06908334,1962
15,15516,305.10919497,1602
15,15518,313.68257433,1853
15,15522,39.7152486,1800
15,15531,252.62872292,1842
15,15533,443.81045736,1799
15,15537,122.69950912,1683
15,15542,263.09258436,1754
15,15550,464.9507465,1799
15,15572,1513.60103664,1957
15,15580,167.32685905,1986
15,15599,125.68380229,1754
15,15600,220.66637028,1780
15,15621,206.36342967,1904
15,15632,248.65196199,1784
15,15638,63.92725829,1809
15,15646,167.5862368,1556
15,15660,109.46960177,1965
15,15664,74.40355031,1776
15,15667,469.84549583,1961
15,15673,123.87947184,1777
15,15676,93.99806905,1959
15,15681,195.90435681,1959
15,15686,67.9638235,1780
15,15690,309.65967352,1961
15,15693,116.70609242,1754
15,15696,77.56281644000001,1899
15,15720,161.31016461,1754
15,15723,54.88468108,1878
15,15740,119.22296697,1982
15,15753,123.09543776,1729
15,15755,603.5863878599999,1827
15,15757,150.15200342,1788
